Title,Author,Category,Pages,Publisher
We the Living,Rand Ayn,novel,178,Penguin
Artist and the Mathematician The,Aczel Amir,mathematics,186,HighStakes
History of Western Philosophy,Russell Bertrand,philosophy,213,Routledge
Selected Short Stories,,classic,215,Jaico
Rationality & Freedom,Sen Amartya,economics,213,Springer
Clash of Civilizations and Remaking of the World Order,Huntington Samuel,history,228,Simon&Schuster
Uncommon Wisdom,Capra Fritjof,anthology,197,Fontana
One,Bach Richard,autobiography,172,Dell
Karl Marx Biography,,autobiography,162,
To Sir With Love,Braithwaite,classic,197,Penguin
Half A Life,Naipaul V S,novel,196,
Discovery of India The,Nehru Jawaharlal,history,230,
Apulki,Deshpande P L,misc,211,
Unpopular Essays,Russell Bertrand,philosophy,198,
Deceiver The,Forsyth Frederick,novel,178,
Veil: Secret Wars of the CIA,Woodward Bob,history,171,
Char Shabda,Deshpande P L,misc,214,
Rosy is My Relative,Durrell Gerald,novel,176,
Moon and Sixpence The,Maugham William S,classic,180,
Political Philosophers,,politics,162,
Short History of the World A,Wells H G,history,197,
Trembling of a Leaf The,Maugham William S,novel,205,
Doctor on the Brain,Gordon Richard,novel,204,
Simpsons & Their Mathematical Secrets,Singh Simon,mathematics,233,
Pattern Classification,Duda Hart,data_science,241,
From Beirut to Jerusalem,Friedman Thomas,history,202,
Code Book The,Singh Simon,mathematics,197,
Age of the Warrior The,Fisk Robert,history,197,
Final Crisis,,comic,257,
Killing Joke The,,comic,283,
Flashpoint,,comic,265,
Batman Earth One,,comic,265,
Crisis on Infinite Earths,,comic,258,
Numbers Behind Numb3rs The,Devlin Keith,mathematics,202,
Superman Earth One - 1,,comic,259,
Superman Earth One - 2,,comic,258,
Justice League: Throne of Atlantis,,comic,258,
Justice League: The Villain's Journey,,comic,258,
Death of Superman The,,comic,258,
History of the DC Universe,,comic,258,
Batman: The Long Halloween,,comic,258,
Life in Letters A,Steinbeck John,autobiography,196,
Information The,Gleick James,mathematics,233,
Journal of Economics vol 106 No 3,,economics,235,
Elements of Information Theory,Thomas Joy,signal_processing,229,
Power Electronics - Rashid,Rashid Muhammad,computer_science,235,
Power Electronics - Mohan,Mohan Ned,computer_science,237,
Neural Networks,Haykin Simon,data_science,240,
Grapes of Wrath The,Steinbeck John,classic,196,
Vyakti ani Valli,Deshpande P L,misc,211,
Statistical Learning Theory,Vapnik Vladimir,data_science,228,
Empire of the Mughal - The Tainted Throne,Rutherford Alex,history,180,
Empire of the Mughal - Brothers at War,Rutherford Alex,history,180,
Empire of the Mughal - Ruler of the World,Rutherford Alex,history,180,
Empire of the Mughal - The Serpent's Tooth,Rutherford Alex,history,180,
Empire of the Mughal - Raiders from the North,Rutherford Alex,history,180,
Mossad,Baz-Zohar Michael,history,236,
Jim Corbett Omnibus,Corbett Jim,history,223,
20000 Leagues Under the Sea,Verne Jules,novel,190,
Batatyachi Chal,Deshpande P L,novel,200,
Hafasavnuk,Deshpande P L,novel,211,
Urlasurla,Deshpande P L,novel,211,
Pointers in C,Kanetkar Yashwant,computer_science,213,
Cathedral and the Bazaar The,Raymond Eric,computer_science,217,
Design with OpAmps,Franco Sergio,computer_science,240,
Think Complexity,Downey Allen,data_science,230,
Devil's Advocate The,West Morris,novel,178,
Ayn Rand Answers,Rand Ayn,objectivism,203,
Philosophy: Who Needs It,Rand Ayn,objectivism,171,
World's Great Thinkers The,,physics,189,
Data Analysis with Open Source Tools,Janert Phillip,data_science,230,
